iter	Passed	Remaining
811	4756	1101
812	4761	1095
813	4767	1089
814	4773	1083
815	4779	1077
816	4785	1071
817	4791	1066
818	4798	1060
819	4804	1054
820	4809	1048
821	4816	1043
822	4823	1037
823	4830	1031
824	4837	1026
825	4844	1020
826	4851	1014
827	4859	1009
828	4867	1003
829	4873	998
830	4879	992
831	4886	986
832	4893	981
833	4903	975
834	4909	970
835	4916	964
836	4922	958
837	4928	952
838	4934	946
839	4940	941
840	4947	935
841	4953	929
842	4958	923
843	4963	917
844	4969	911
845	4974	905
846	4980	899
847	4985	893
848	4991	887
849	4997	881
850	5004	876
851	5010	870
852	5015	864
853	5022	858
854	5027	852
855	5032	846
856	5038	840
857	5044	834
858	5050	829
859	5055	823
860	5061	817
861	5068	811
862	5073	805
863	5078	799
864	5083	793
865	5089	787
866	5094	781
867	5100	775
868	5105	769
869	5111	763
870	5117	757
871	5122	751
872	5127	745
873	5132	739
874	5137	733
875	5142	728
876	5148	722
877	5154	716
878	5160	710
879	5166	704
880	5172	698
881	5178	692
882	5184	686
883	5189	681
884	5195	675
885	5200	669
886	5206	663
887	5211	657
888	5218	651
889	5223	645
890	5229	639
891	5234	633
892	5239	627
893	5244	621
894	5250	615
895	5255	609
896	5260	604
897	5265	598
898	5270	592
899	5275	586
900	5281	580
901	5286	574
902	5291	568
903	5297	562
904	5302	556
905	5307	550
906	5312	544
907	5318	538
908	5324	533
909	5328	527
910	5333	521
911	5338	515
912	5344	509
913	5348	503
914	5353	497
915	5357	491
916	5363	485
917	5367	479
918	5372	473
919	5377	467
920	5381	461
921	5386	455
922	5391	449
923	5396	443
924	5401	437
925	5406	432
926	5410	426
927	5415	420
928	5421	414
929	5427	408
930	5432	402
931	5437	396
932	5442	390
933	5447	384
934	5452	379
935	5457	373
936	5462	367
937	5467	361
938	5473	355
939	5479	349
940	5486	343
941	5491	338
942	5498	332
943	5504	326
944	5509	320
945	5515	314
946	5521	309
947	5526	303
948	5532	297
949	5538	291
950	5544	285
951	5550	279
952	5556	274
953	5562	268
954	5568	262
955	5574	256
956	5580	250
957	5586	244
958	5592	239
959	5599	233
960	5605	227
961	5611	221
962	5617	215
963	5624	210
964	5630	204
965	5637	198
966	5645	192
967	5651	186
968	5658	181
969	5664	175
970	5672	169
971	5681	163
972	5688	157
973	5697	152
974	5704	146
975	5711	140
976	5719	134
977	5727	128
978	5735	123
979	5744	117
980	5752	111
981	5759	105
982	5767	99
983	5775	93
984	5783	88
985	5790	82
986	5797	76
987	5805	70
988	5811	64
989	5818	58
990	5825	52
991	5832	47
992	5839	41
993	5846	35
994	5853	29
995	5860	23
996	5867	17
997	5875	11
998	5883	5
999	5889	0
