epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1016.33,1.10899,0.6276,0.0056,0.96774,0.82179,0.89516,0.82014,0.54479,0.33482,0.00319,0.0005546,0.0005546,0.0005546
75,1028.43,1.07231,0.58434,0.00522,0.93954,0.85153,0.88871,0.79065,0.60824,0.31364,0.00371,0.0005348,0.0005348,0.0005348
76,1040.29,1.08609,0.58711,0.00521,0.94349,0.8386,0.89216,0.76042,0.73849,0.32415,0.00506,0.000515,0.000515,0.000515
77,1052,1.03112,0.56365,0.005,0.89985,0.85388,0.88826,0.77799,0.62971,0.34153,0.00407,0.0004952,0.0004952,0.0004952
78,1063.86,1.01008,0.55609,0.00494,0.93398,0.84932,0.89096,0.8006,0.57492,0.31772,0.00368,0.0004754,0.0004754,0.0004754
79,1075.55,1.0448,0.55246,0.00445,0.92042,0.84499,0.89026,0.7701,0.66259,0.32662,0.00462,0.0004556,0.0004556,0.0004556
80,1087.26,1.08277,0.61277,0.00488,0.95673,0.81279,0.88903,0.80945,0.54452,0.31311,0.00343,0.0004358,0.0004358,0.0004358
81,1098.86,0.98526,0.53586,0.00481,0.94872,0.82648,0.89463,0.80299,0.59254,0.30712,0.00385,0.000416,0.000416,0.000416
82,1110.41,1.02603,0.55136,0.00499,0.95343,0.82648,0.89599,0.8057,0.61385,0.31321,0.00398,0.0003962,0.0003962,0.0003962
83,1122.11,1.01772,0.57655,0.0051,0.93375,0.84475,0.89419,0.7756,0.62884,0.34134,0.00416,0.0003764,0.0003764,0.0003764
84,1133.71,1.00089,0.55583,0.00485,0.94339,0.83698,0.89425,0.79872,0.57757,0.32008,0.00352,0.0003566,0.0003566,0.0003566
85,1145.64,1.03888,0.55945,0.00452,0.9541,0.84018,0.89512,0.78563,0.6052,0.32702,0.00378,0.0003368,0.0003368,0.0003368
86,1157.78,1.05083,0.56674,0.00479,0.93427,0.84018,0.88763,0.75831,0.71033,0.36551,0.0049,0.000317,0.000317,0.000317
87,1169.82,0.97366,0.52102,0.00501,0.94855,0.84018,0.8917,0.80547,0.57045,0.32122,0.00342,0.0002972,0.0002972,0.0002972
88,1182.16,1.0225,0.57558,0.0045,0.96084,0.84932,0.89608,0.7708,0.67819,0.33342,0.00443,0.0002774,0.0002774,0.0002774
89,1194.03,1.02459,0.57755,0.00448,0.95218,0.84475,0.89313,0.77533,0.65835,0.34875,0.00433,0.0002576,0.0002576,0.0002576
90,1206.41,1.05706,0.59799,0.00444,0.95701,0.84932,0.89411,0.79777,0.60986,0.31774,0.00378,0.0002378,0.0002378,0.0002378
91,1238.51,0.99055,0.53415,0.00506,0.96146,0.84932,0.89496,0.77086,0.68356,0.32524,0.00471,0.000218,0.000218,0.000218
92,1249.96,0.90558,0.49664,0.00427,0.98439,0.80365,0.89127,0.79453,0.61128,0.33409,0.00389,0.0001982,0.0001982,0.0001982
93,1261.6,0.93821,0.51776,0.0044,0.97516,0.81279,0.88969,0.79387,0.60382,0.32648,0.00363,0.0001784,0.0001784,0.0001784
94,1273.11,0.90984,0.49949,0.0044,0.94736,0.84475,0.89088,0.79425,0.58926,0.31402,0.00342,0.0001586,0.0001586,0.0001586
95,1284.88,0.9042,0.48662,0.00428,0.94602,0.83105,0.89021,0.7942,0.60256,0.31431,0.00375,0.0001388,0.0001388,0.0001388
96,1296.93,0.88038,0.48842,0.0042,0.93852,0.84018,0.89145,0.79722,0.59187,0.31195,0.00357,0.000119,0.000119,0.000119
97,1310.39,0.91146,0.48951,0.00414,0.96606,0.82648,0.89268,0.80362,0.58443,0.30776,0.00342,9.92e-05,9.92e-05,9.92e-05
98,1321.63,0.9333,0.50738,0.00433,0.97845,0.82932,0.89336,0.79475,0.61668,0.31168,0.00381,7.94e-05,7.94e-05,7.94e-05
99,1333.19,0.86707,0.47002,0.00433,0.97849,0.83068,0.89472,0.8079,0.58392,0.30166,0.00355,5.96e-05,5.96e-05,5.96e-05
100,1345.16,0.86568,0.48913,0.00436,0.97446,0.82648,0.89347,0.81014,0.56625,0.29739,0.0034,3.98e-05,3.98e-05,3.98e-05
